D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
1.2,2.51,4.81,,1.2,250000000.0,0.1126405365279999,31.062331745703045,60.19664236505919,1.0838934654065802
1.2,3.31,4.81,,1.2,260000000.0,0.0646307762869822,30.00240019201536,57.56315957787017,2.154488517745303
1.2,3.98,4.81,,1.2,270000000.0,0.0345396821706447,29.22666250998578,55.45628196438474,3.4837548638132296
1.2,8.84,8.64,,0.9,390000000.0,5.219871012491782e-07,22.611815427287937,42.8898208158597,5.344431041415359
1.2,4.44,4.81,,1.2,280000000.0,0.0147829074465561,28.784157199877185,54.005400540054005,3.894912118408881
1.2,5.47,4.8,,0.9,300000000.0,2.090693947111112e-05,27.833961143790244,51.04355716878403,5.127537889619674
1.2,6.21,5.62,,0.9,320000000.0,3.649312036035157e-07,26.5158211065936,48.998257839721255,5.158995815899582
1.2,6.6,6.05,,0.9,330000000.0,1.985486215876952e-06,25.86519062645492,48.002560136540616,5.240216411181244
1.2,6.96,6.48,,0.9,340000000.0,6.499417690311417e-07,25.281466999258413,47.09822596682192,5.211157820984411
1.2,7.34,6.92,,0.9,350000000.0,3.768621355183673e-07,24.692983900174497,46.19648906683092,5.248663101604278
1.2,7.7,7.33,,0.9,360000000.0,2.618474785493827e-06,24.159257827599536,45.34690381417846,5.233820810220206
1.2,8.08,7.76,,0.9,370000000.0,3.0833793257852447e-06,23.62874515610724,44.499381953028426,5.265646961554362
1.2,4.96,4.81,,1.2,290000000.0,0.0037630123097502,28.294412796619763,52.48731556540503,4.542533081285444
1.2,16.08,16.92,,0.9,580000000.0,1.3538668397740784e-06,16.096493110700948,31.903580290677063,5.585123571300341
1.2,23.43,25.28,,0.9,770000000.0,1.8191671883960202e-07,12.457437089942696,25.31147172146132,5.761674872138044
1.2,16.86,17.81,,0.9,600000000.0,5.765567495555556e-08,15.611340077432246,31.04840100734812,5.6199544365909215
1.2,25.37,27.5,,0.9,820000000.0,5.593508859161215e-08,11.755485893416928,24.00192015361229,5.796161001951264
1.2,25.76,27.93,,0.9,830000000.0,1.816659249528234e-07,11.62520344106022,23.75296912114014,5.8023360287511245
1.2,26.13,28.38,,0.9,840000000.0,3.666779902565194e-07,11.497777096428024,23.52018816150529,5.805548146172312
1.2,26.53,28.81,,0.9,850000000.0,1.7131409619377165e-07,11.372251705837757,23.27806947210512,5.813226488200072
1.2,26.93,29.26,,0.9,860000000.0,1.1168682166035694e-07,11.246907100547348,23.04206456898538,5.822900763358778
1.2,27.32,29.72,,0.9,870000000.0,5.514692984542211e-07,11.124295461287453,22.81484485905496,5.832324978392394
1.2,27.7,30.15,,0.9,880000000.0,6.19792051911157e-08,11.009174311926603,22.593764121102573,5.834509904590767
1.2,24.97,27.06,,0.9,810000000.0,3.413551508916324e-07,11.889663918833229,24.25745242844052,5.788339902832523
1.2,28.09,30.59,,1.2,890000000.0,3.562081334427472e-15,10.894828588030215,22.37748327904721,5.838240901580307
1.2,28.87,31.47,,1.2,910000000.0,2.967244712099988e-11,10.672358591248669,21.953361303541808,5.84857808082488
1.2,29.25,31.92,,1.2,920000000.0,7.164074768431001e-11,10.564124234100994,21.747009786154404,5.853688676525106
1.2,29.64,32.36,,1.2,930000000.0,6.522278499248467e-11,10.458063166701528,21.54450136448509,5.858705411803118
1.2,30.03,32.8,,1.2,940000000.0,3.360108611362607e-11,10.354110581901017,21.34572966819249,5.863630848869657
1.2,30.42,33.24,,1.2,950000000.0,1.3593595408310247e-10,10.25220422390814,21.150592216582066,5.868467457518436
1.2,30.81,33.69,,1.2,960000000.0,4.222169223090277e-23,10.152284263959393,20.95947834187238,5.873217619255669
1.2,31.2,34.13,,1.2,970000000.0,1.7434992130938464e-14,10.05429318318922,20.77082852527117,5.87788363121014
1.2,28.48,31.03,,1.2,900000000.0,9.508099058765432e-16,10.78205865439908,22.16366636294235,5.8435454087628
1.2,24.6,26.61,,0.9,800000000.0,1.5486401453125e-07,12.024048096192384,24.50246385886581,5.78744901742677
1.2,24.22,26.16,,0.9,790000000.0,2.616880794744432e-07,12.16446354715757,24.76337222099934,5.781462226593601
1.2,23.82,25.73,,0.9,780000000.0,1.2688401988823141e-07,12.306177701206003,25.03268155647651,5.775621301775148
1.2,17.25,18.26,,0.9,610000000.0,1.875715978769148e-06,15.374365807410443,30.635169174211995,5.641920388237334
1.2,17.62,18.68,,0.9,620000000.0,3.769590440920915e-07,15.16284899824111,30.24905051591436,5.634357224118316
1.2,18.02,19.13,,0.9,630000000.0,3.953713310657597e-07,14.9402390438247,29.849756226990813,5.659591239232026
1.2,18.4,19.56,,0.9,640000000.0,5.196804165039062e-07,14.737669483199056,29.48402948402948,5.653186886337161
1.2,18.79,20.0,,0.9,650000000.0,1.899714863905325e-07,14.53206742879287,29.110198272794904,5.667672059226762
1.2,19.17,20.45,,0.9,660000000.0,8.713226675849402e-08,14.330753797649756,28.75215641173088,5.678751422532922
1.2,19.55,20.89,,0.9,670000000.0,4.88954406326576e-07,14.138938637006316,28.4081941857896,5.682718031032637
1.2,19.95,21.31,,0.9,680000000.0,4.483874837802769e-07,13.950892857142858,28.05311389564241,5.698105218587912
1.2,20.33,21.76,,0.9,690000000.0,3.895129017013233e-07,13.770311209033324,27.73070405176398,5.698014629049112
1.2,20.73,22.2,,0.9,700000000.0,6.413628265306121e-08,13.586956521739127,27.39392463626956,5.71546775611522
1.2,21.12,22.64,,0.9,710000000.0,6.525147448046022e-07,13.410818059901654,27.06766917293233,5.730515326748887
1.2,21.5,23.08,,0.9,720000000.0,1.4596434837191357e-07,13.246202755210172,26.76659528907923,5.727130373288881
