D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
10.0,16.0705,36.7696,,3.0,750000000.0,1.499675825e-11,12.5,20.9,0.58
10.0,17.647,41.7352,,3.0,800000000.0,2.0157931690000003e-13,11.4,20.1,0.28
10.0,19.1926,47.2399,,3.0,850000000.0,2.03216786e-11,10.4,19.4,0.71
10.0,20.6908,53.4666,,3.0,900000000.0,2.0083923700000003e-20,9.5,18.8,4.32
10.0,22.1171,60.7259,,3.0,950000000.0,4.0765504000000006e-16,8.6,18.2,0.6
10.0,23.4275,69.6415,,3.0,1000000000.0,3.239395903696e-26,7.8,17.8,0.01
9.0,2.5001,4.8047,,3.0,200000000.0,31.62436628,0.0,0.0,0.0
9.0,2.5002,4.8047,,3.0,250000000.0,3.732566672900001,32.1,24.3,0.39
9.0,2.5001,4.9444,,3.0,300000000.0,0.002900422856,31.3,24.8,0.69
9.0,3.821,7.8611,,3.0,350000000.0,3.3030120400000006e-11,29.9,25.2,1.55
9.0,5.3197,10.8081,,3.0,400000000.0,3.1306292559999998e-21,26.1,25.5,0.56
9.0,125.5075,135.3458,,3.0,450000000.0,654.4765512399999,0.0,0.0,0.0
9.0,128.8975,131.9512,,3.0,500000000.0,484.1496010000001,0.0,0.0,0.0
9.0,130.6139,130.2399,,3.0,550000000.0,371.95340069,0.0,0.0,0.0
9.0,11.6936,24.3093,,3.0,600000000.0,2.3912669989e-10,16.4,24.4,0.3
9.0,13.3262,28.216,,3.0,650000000.0,1.184596362e-11,14.9,23.3,0.96
9.0,14.9564,32.4059,,3.0,700000000.0,2.063092813e-13,13.5,22.3,2.78
9.0,16.5755,36.9375,,3.0,750000000.0,1.8980195155999998e-10,12.3,21.4,2.72
9.0,18.1737,41.8888,,3.0,800000000.0,1.1442833746000002e-08,11.2,20.6,2.33
9.0,19.7395,47.381,,3.0,850000000.0,1.280789746e-13,10.2,19.9,0.43
9.0,21.2571,53.5902,,3.0,900000000.0,7.259116349e-11,9.3,19.2,2.03
9.0,22.7023,60.8261,,3.0,950000000.0,2.2992129939999998e-21,8.5,18.6,2.06
9.0,24.0311,69.7062,,3.0,1000000000.0,3.3046724e-20,7.6,18.1,0.74
11.0,2.5001,4.8047,,3.0,200000000.0,43.23311464,0.0,0.0,0.0
11.0,2.5001,4.8047,,3.0,250000000.0,6.1315524581,27.8,20.8,0.33
11.0,2.5001,4.8047,,3.0,300000000.0,0.1256713729,27.1,21.3,0.16
11.0,3.3622,7.3581,,3.0,350000000.0,1.5890879929025e-19,26.6,21.6,233.19
11.0,120.9334,137.9208,,3.0,400000000.0,1023.47086756,0.0,0.0,0.0
11.0,131.8748,126.9768,,3.0,450000000.0,709.4822902400001,0.0,0.0,0.0
11.0,127.9352,130.9151,,3.0,500000000.0,513.37215449,0.0,0.0,0.0
11.0,131.177,127.6644,,3.0,550000000.0,387.8908562500001,0.0,0.0,0.0
11.0,119.7513,139.1043,,3.0,600000000.0,299.84584761,0.0,0.0,0.0
11.0,12.4422,27.8187,,3.0,650000000.0,2.9145818974900007e-11,15.4,22.0,0.08
11.0,14.021,32.0319,,3.0,700000000.0,1.859529698e-13,14.0,21.2,3.17
11.0,15.5928,36.588,,3.0,750000000.0,1.0437561510224e-11,12.7,20.4,0.02
11.0,17.147,41.5672,,3.0,800000000.0,1.3379412209e-12,11.6,19.7,5.79
11.0,18.6714,47.088,,3.0,850000000.0,1.1321642319999999e-09,10.5,19.0,2.02
11.0,20.1498,53.332,,3.0,900000000.0,5.7247997e-10,9.6,18.4,1.99
11.0,21.5568,60.6158,,3.0,950000000.0,3.4893104499999995e-24,8.7,17.9,1.55
11.0,22.8475,69.5708,,3.0,1000000000.0,9.1626516e-11,7.9,17.4,1.53
22.0,177.8557,199.9954,,3.0,200000000.0,1000000000.0,0.0,0.0,0.0
22.0,177.8557,199.9954,,3.0,250000000.0,1000000000.0,0.0,0.0,0.0
22.0,177.8557,199.9954,,3.0,300000000.0,1000000000.0,0.0,0.0,0.0
22.0,177.8557,199.9954,,3.0,350000000.0,1000000000.0,0.0,0.0,0.0
22.0,177.8557,199.9954,,3.0,400000000.0,1000000000.0,0.0,0.0,0.0
22.0,4.2813,10.0901,,3.0,450000000.0,1.397341714e-20,14.9,12.5,1.07
22.0,5.4164,13.4407,,3.0,500000000.0,2.3491532514099998e-11,14.8,12.6,17.72
22.0,6.61,16.9985,,3.0,550000000.0,1.1288650560400003e-11,14.7,12.7,20.85
22.0,7.848,20.7838,,3.0,600000000.0,2.263211412676e-12,14.6,12.8,30.71
