D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [MeV/c],"f(x',y') [mrad^2]",studied variable,Astra key,xAngle xOffset slope[mm],xAngle yOffset slope [mm],yAngle xOffset slope [mm],yAngle yOffset slope [mm]
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q3OffsetX,Q_xoff(3),4.552,0.0,4.552,0.001
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q3OffsetY,Q_yoff(3),0.001,-4.908,0.0,-4.912
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q3OffsetZ,Q_pos(3),0.0,0.0,0.0,0.0
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q3RotX,Q_xrot(3),0.004,0.0,0.003,0.0
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q3RotY,Q_yrot(3),0.001,0.008,0.0,0.008
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q3RotZ,Q_zrot(3),0.0,-0.057,-0.009,0.001
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q1Gradient,Q_grad(1),-0.001,0.0,0.0,0.012
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q2Gradient,Q_grad(2),-0.039,0.0,0.0,0.464
10.0,16.059,36.774,,3.0,750,2.6110025764e-24,Q3Gradient,Q_grad(3),-0.47,0.0,0.0,0.089
10.0,17.636,41.739,,3.0,800,2.9920870856e-22,sourceOffsetX,x_off,-1.565,0.0,-1.565,0.001
10.0,17.636,41.739,,3.0,800,2.9920870856e-22,sourceOffsetY,y_off,0.001,-10.582,0.0,-10.579
10.0,17.636,41.739,,3.0,800,2.9920870856e-22,Q1OffsetX,Q_xoff(1),0.546,0.0,0.547,0.001
10.0,17.636,41.739,,3.0,800,2.9920870856e-22,Q1OffsetY,Q_yoff(1),0.001,-3.822,0.0,-3.826
10.0,17.636,41.739,,3.0,800,2.9920870856e-22,Q1OffsetZ,Q_pos(1),-0.004,0.0,0.0,0.046
